primary_type,description,arrest,domestic,beat,district,ward,community_area,year,latitude,longitude,hour,day_of_week,month,season,is_weekend,is_holiday,time_of_day,Is_STR,Is_OTH_STR,loc_desc_cat,pct_housing_crowded,pct_households_below_poverty,pct_age16_unemployed,pct_age25_nohighschool,pct_not_working_age,per_capita_income,hardship_index,population,pop_density,distance_to_police_station,distance_to_park,distance_to_school,distance_to_vacant_building,distance_to_library,crime_category
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,311,3.0,20.0,40.0,2018,41.781184105,-87.615649806,5,6,9,4,1,0,Early Morning,True,False,Residential_Areas,5.6,42.1,28.6,25.4,42.8,13785,88.0,12707.0,8359.87,0.0177681143462973,0.0050259958039027,0.0020615756107874,0.0063168569751692,0.0085750285241076,violent_crime
DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,False,False,1612,16.0,41.0,10.0,2021,41.996278603,-87.811556741,10,2,11,4,0,0,Morning,False,True,Residential_Areas,2.0,5.4,9.0,11.5,39.5,32875,21.0,38303.0,8764.99,0.050537254748883,0.0041436199432881,0.0030452057386145,0.0145985641836362,0.0140199069356053,non-violent_crime
ASSAULT,AGGRAVATED: HANDGUN,False,False,624,6.0,6.0,69.0,2018,41.752318658,-87.613743252,16,0,12,1,0,0,Evening,False,True,Outdoor_And_Public_Spaces,3.6,29.6,23.0,16.5,41.0,17285,66.0,31471.0,8865.07,0.0162197837610661,0.0119719919314945,0.0043026346744102,0.0004079397746375,0.0017743519294642,violent_crime
MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,False,False,2523,25.0,31.0,21.0,2024,41.935449522,-87.724952588,11,2,3,2,0,0,Morning,False,True,Outdoor_And_Public_Spaces,6.0,15.3,9.2,24.7,31.0,20039,42.0,36257.0,18311.62,0.0307668106849466,0.003799688188109,0.0045741075017869,0.0017049195589333,0.0193304319752841,non-violent_crime
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,False,False,815,8.0,22.0,56.0,2021,41.812306287,-87.74328289,14,1,11,4,0,0,Noon,False,True,Residential_Areas,2.6,8.8,11.3,19.3,38.1,26353,32.0,35439.0,8378.01,0.0479044319928745,0.0060803895173092,0.0048073119147327,0.0023874189376948,0.0201891301951873,non-violent_crime
BATTERY,SIMPLE,False,False,1423,14.0,1.0,24.0,2020,41.90703235,-87.696979547,19,1,10,4,0,0,Night,False,True,Commercial_Areas,2.3,14.7,6.6,12.9,21.7,43198,10.0,87781.0,19166.16,0.0140788933701266,0.0010174783579382,0.0039883775734329,0.0020661110205098,0.009155271490256,violent_crime
WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,True,False,825,8.0,16.0,66.0,2021,41.782899433,-87.684422247,19,3,7,3,0,0,Night,True,False,Outdoor_And_Public_Spaces,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0237610192247894,0.007575467478885,0.004319595716489,0.0006753094251247,0.0144296331744279,violent_crime
THEFT,RETAIL THEFT,False,False,1934,19.0,44.0,6.0,2021,41.932738985,-87.648117094,15,3,4,2,0,0,Noon,False,True,Commercial_Areas,1.1,11.4,4.7,2.6,17.0,60058,5.0,103050.0,33028.85,0.0150493977195435,0.0038995862289853,0.0033952516705606,0.0177033020675592,0.0076820074640125,non-violent_crime
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,False,False,1424,14.0,1.0,24.0,2023,41.907402786,-87.687145162,11,1,11,4,0,0,Morning,False,True,Commercial_Areas,2.3,14.7,6.6,12.9,21.7,43198,10.0,87781.0,19166.16,0.0171444402362474,0.0016039733976288,0.0025273996130678,0.0027549182381152,0.0084489050004653,non-violent_crime
CRIMINAL TRESPASS,TO LAND,True,False,2222,22.0,21.0,73.0,2020,41.731429105,-87.65807162,13,2,12,1,0,0,Noon,True,False,Residential_Areas,1.1,16.9,20.8,13.7,42.6,19713,48.0,25065.0,8763.99,0.0249084505534681,0.0042038332722192,0.0031634841818077,0.0025754209633433,0.001071967069142,non-violent_crime
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,True,True,1112,11.0,27.0,23.0,2020,41.902563274,-87.717345067,17,2,3,2,0,0,Evening,False,True,Unknown,14.8,33.9,17.3,35.4,38.0,13781,85.0,54165.0,15045.83,0.0271932819255972,0.0027002508477907,0.0013693626922745,0.0007722550625497,0.0134741813410557,non-violent_crime
NARCOTICS,POSS: CRACK,True,False,1022,10.0,24.0,29.0,2019,41.85866497,-87.705447103,15,2,2,1,0,0,Noon,False,True,Outdoor_And_Public_Spaces,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0035405547876053,0.0033675365986181,0.003844366968961,0.0013140487220381,0.0074419508090772,non-violent_crime
BATTERY,SIMPLE,False,False,112,1.0,42.0,32.0,2019,41.881475571,-87.626195083,22,5,8,3,1,0,Night,False,True,Outdoor_And_Public_Spaces,1.5,14.7,5.7,3.1,13.5,65526,3.0,42298.0,25635.15,0.0231321389868722,0.0065264730274549,0.0072269443054492,0.0024602109096752,0.0048832560068592,violent_crime
BATTERY,SIMPLE,False,False,1424,14.0,1.0,24.0,2023,41.909408388,-87.675949324,1,6,4,2,1,0,Early Morning,False,True,Outdoor_And_Public_Spaces,2.3,14.7,6.6,12.9,21.7,43198,10.0,87781.0,19166.16,0.0244771070331939,0.001360387288744,0.0030148115698395,0.0135554391451887,0.0052542673538503,violent_crime
OTHER OFFENSE,TELEPHONE THREAT,False,False,512,5.0,9.0,49.0,2022,41.704620634,-87.622262356,11,1,7,3,0,0,Morning,False,True,Residential_Areas,2.5,19.8,20.3,16.9,41.2,17949,52.0,38816.0,8053.11,0.0213737671854801,0.0128946062746223,0.0013592493595232,0.0034197076538589,0.0081702176887419,non-violent_crime
BATTERY,AGGRAVATED - HANDGUN,False,False,632,6.0,8.0,44.0,2022,41.743503863,-87.60501807,19,1,2,1,0,0,Night,False,True,Unknown,3.3,27.8,24.0,14.5,40.3,18881,60.0,31710.0,10749.15,0.0229386390290027,0.0045860887924249,0.0042751840446223,0.0047294971543991,0.0124549312936164,violent_crime
BATTERY,SIMPLE,False,False,1834,18.0,42.0,8.0,2024,41.891990384,-87.611461502,14,0,6,3,0,0,Noon,False,True,Transportation_And_Vehicles,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0338172112784326,0.002100352193707,0.0195570935892928,0.020420578104422,0.0131216625819493,violent_crime
THEFT,FROM BUILDING,False,False,1832,18.0,42.0,8.0,2018,41.893541578,-87.629701805,1,5,12,1,1,0,Early Morning,True,False,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0167458365696568,0.0080696341694009,0.006503056733215,0.0142722212611555,0.0074522923890024,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,True,1234,12.0,25.0,31.0,2019,41.857709786,-87.672162191,13,3,7,3,0,0,Noon,True,False,Residential_Areas,9.6,25.8,15.8,40.7,32.6,16444,76.0,33751.0,11519.11,0.0160768762284575,0.0002840628491709,0.0030312107931635,0.0125773031572337,0.010998966718151,non-violent_crime
NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,True,False,1022,10.0,24.0,29.0,2019,41.855402626,-87.707061076,1,3,8,3,0,0,Early Morning,True,False,Outdoor_And_Public_Spaces,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0018406554285537,0.0046240189899985,0.0040810113658879,0.0009593842766543,0.0061521108497163,non-violent_crime
BATTERY,SIMPLE,False,False,913,9.0,11.0,60.0,2021,41.839223645,-87.64630829,14,6,8,3,1,0,Noon,True,False,Commercial_Areas,4.5,18.9,13.7,22.2,31.3,22694,43.0,33702.0,16125.36,0.0018319148049525,0.0010319768196221,0.0059415899757233,0.0023307895722444,0.0064259705952955,violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,323,3.0,6.0,69.0,2018,41.763937098,-87.612282886,15,0,9,4,0,0,Noon,True,False,Residential_Areas,3.6,29.6,23.0,16.5,41.0,17285,66.0,31471.0,8865.07,0.0069946810763657,0.0032800272888832,0.0026635919791187,0.0004544215697503,0.0118712478791561,non-violent_crime
CRIMINAL TRESPASS,TO RESIDENCE,False,True,433,4.0,10.0,55.0,2021,41.652957528,-87.543515089,21,1,9,4,0,0,Night,False,True,Residential_Areas,3.3,17.1,9.6,19.2,42.9,22677,44.0,10027.0,1913.55,0.0603246508749885,0.0064406609463834,0.0019218617965139,0.0010494894550245,0.0082504798373602,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,724,7.0,17.0,67.0,2023,41.769539234,-87.656664006,22,0,4,2,0,0,Night,True,False,Residential_Areas,4.8,34.4,35.9,26.3,40.7,11317,89.0,29647.0,9411.75,0.0109402233817143,0.0032772335694679,0.0046985161355733,0.0006376083886951,0.0124693510065762,violent_crime
WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,False,False,814,8.0,23.0,56.0,2020,41.798429303,-87.744521435,4,0,5,2,0,0,Early Morning,False,True,Commercial_Areas,2.6,8.8,11.3,19.3,38.1,26353,32.0,35439.0,8378.01,0.0406135601171852,0.0050575217309106,0.0098375872029607,0.0103152972513635,0.0182354451080763,violent_crime
BATTERY,SIMPLE,False,False,122,1.0,42.0,32.0,2023,41.885426371,-87.630966024,22,4,10,4,0,0,Night,True,False,Transportation_And_Vehicles,1.5,14.7,5.7,3.1,13.5,65526,3.0,42298.0,25635.15,0.0216979269842359,0.0113196227528376,0.011466190492828,0.0068943373384433,0.0091313895945937,violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,933,9.0,16.0,61.0,2018,41.802649709,-87.656304744,20,2,8,3,0,0,Night,True,False,Residential_Areas,11.9,29.0,23.0,41.5,38.9,12765,91.0,43628.0,9032.71,0.0234698393145965,0.0021607421253673,0.0059393429678636,0.0001576898789927,0.007983380497963,violent_crime
BATTERY,SIMPLE,False,False,1033,10.0,25.0,30.0,2023,41.847426958,-87.703894392,11,5,7,3,1,0,Morning,True,False,Residential_Areas,15.2,30.7,15.8,54.8,33.8,10402,96.0,71399.0,15555.34,0.0102879009467371,0.0056621552583137,0.0035509650943557,0.000238362949103,0.0024496172222104,violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,234,2.0,5.0,41.0,2020,41.797631968,-87.590396162,15,4,9,4,0,0,Noon,False,True,Outdoor_And_Public_Spaces,1.5,18.4,8.4,4.3,26.2,39056,14.0,29456.0,18295.65,0.0347732929105751,0.0013587004919331,0.0030414231132711,0.0225316012449868,0.0079457365226167,non-violent_crime
CRIMINAL TRESPASS,TO RESIDENCE,False,True,431,4.0,7.0,51.0,2021,41.714693603,-87.569442106,11,5,6,3,1,0,Morning,False,True,Residential_Areas,4.0,29.2,16.3,21.0,39.5,14685,65.0,14105.0,1294.04,0.0068480982947227,0.0027435737524118,0.0022935396546556,0.0016656219316158,0.0039269611379629,non-violent_crime
NARCOTICS,FOUND SUSPECT NARCOTICS,True,False,1134,11.0,24.0,29.0,2022,41.868180939,-87.709271389,16,3,11,4,0,0,Evening,True,False,Public_Buildings_And_Infrastructure,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0065945160009076,0.0049926677609489,0.0063974376144708,0.0035641853963381,0.0038752883847355,non-violent_crime
NARCOTICS,FOUND SUSPECT NARCOTICS,True,False,1223,12.0,27.0,28.0,2019,41.883129299,-87.677823551,5,4,3,2,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,3.8,20.6,10.7,9.6,22.2,44689,15.0,67881.0,11929.88,0.0289982134218762,0.0027689226186092,0.0002078866320937,0.0057281949326856,0.0024837871340146,non-violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,313,3.0,20.0,42.0,2022,41.783917607,-87.613925358,16,3,2,1,0,0,Evening,True,False,Outdoor_And_Public_Spaces,2.9,30.7,23.4,16.5,36.1,18672,58.0,24425.0,11799.52,0.0193043193347535,0.0027716132809874,0.0052477790752964,0.0073182599181864,0.0077132678681964,non-violent_crime
OTHER OFFENSE,TELEPHONE THREAT,False,True,1021,10.0,24.0,29.0,2024,41.860253255,-87.710369003,23,3,2,1,0,0,Night,False,True,Residential_Areas,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.0040846221379069,0.0016071749807595,0.0014065443215967,0.0025861983742059,0.0041636730358934,non-violent_crime
ASSAULT,SIMPLE,False,False,1814,18.0,43.0,7.0,2018,41.925739522,-87.631031128,19,2,9,4,0,0,Night,True,False,Outdoor_And_Public_Spaces,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0256507618060879,0.0020363579078992,0.0135476051217826,0.0231602666967983,0.0207859718805306,violent_crime
THEFT,RETAIL THEFT,True,False,1224,12.0,42.0,28.0,2020,41.881949766,-87.647367397,10,0,1,1,0,0,Morning,True,False,Commercial_Areas,3.8,20.6,10.7,9.6,22.2,44689,15.0,67881.0,11929.88,0.0212658991082019,0.0032793604223418,0.012287406763344,0.00761617821121,0.0074098848120096,non-violent_crime
WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,True,False,322,3.0,20.0,69.0,2021,41.77363041,-87.625151991,20,3,5,2,0,0,Night,True,False,Outdoor_And_Public_Spaces,3.6,29.6,23.0,16.5,41.0,17285,66.0,31471.0,8865.07,0.0206966999324924,0.002976429137209,0.0039789355845904,0.0033900413767533,0.0148391152739861,violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,True,831,8.0,17.0,66.0,2018,41.76913913,-87.690697418,11,5,11,4,1,0,Morning,False,True,Residential_Areas,7.6,27.9,17.1,31.2,40.6,13231,80.0,55931.0,15844.48,0.0206640375384257,0.0033590316042542,0.0014740512842432,0.0011098123624915,0.0180375081416623,non-violent_crime
THEFT,RETAIL THEFT,True,False,1023,10.0,28.0,31.0,2020,41.85199252,-87.688888738,17,6,1,1,1,0,Evening,False,True,Commercial_Areas,9.6,25.8,15.8,40.7,32.6,16444,76.0,33751.0,11519.11,0.0200499541590785,0.0068042254785465,0.0042363172538038,0.0041310258533941,0.0163299109454008,non-violent_crime
THEFT,$500 AND UNDER,False,False,1033,10.0,12.0,30.0,2020,41.851103661,-87.702782911,8,4,3,2,0,0,Morning,False,True,Outdoor_And_Public_Spaces,15.2,30.7,15.8,54.8,33.8,10402,96.0,71399.0,15555.34,0.0079054062830142,0.0051191151176024,0.0023158912738712,0.0031664247597503,0.00271776163608,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1125,11.0,27.0,27.0,2022,41.880200232,-87.692729156,18,4,3,2,0,0,Evening,True,False,Residential_Areas,8.2,42.4,19.6,21.3,43.2,12961,83.0,19992.0,10358.55,0.0143731894111297,0.0023840636829804,0.0026361225272456,0.0008749036855501,0.0135231173331712,violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,1924,19.0,44.0,6.0,2022,41.94595442,-87.653074023,18,1,5,2,0,0,Evening,False,True,Transportation_And_Vehicles,1.1,11.4,4.7,2.6,17.0,60058,5.0,103050.0,33028.85,0.0021285875724558,0.0064763267741238,0.0033902481245332,0.0301024000734152,0.0091401878533548,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,True,True,2413,24.0,50.0,2.0,2023,41.993004885,-87.707288359,1,1,12,1,0,0,Early Morning,False,True,Residential_Areas,7.8,17.2,8.8,20.8,38.5,23040,46.0,77122.0,21847.59,0.0197401086705593,0.0028200680212996,0.007258424788374,0.0104184514930392,0.0143880572017896,violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,1511,15.0,29.0,25.0,2022,41.897337652,-87.767911208,0,1,8,3,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0172566068179652,0.0071633811163872,0.0022935725552961,0.0023099863594115,0.0084280026185344,violent_crime
THEFT,RETAIL THEFT,True,False,2533,25.0,37.0,25.0,2019,41.909664252,-87.742728815,10,2,11,4,0,0,Morning,False,True,Commercial_Areas,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0245342812864554,0.0069166024137885,0.0077497218061372,0.0088486341278102,0.0089636244252472,non-violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,2513,25.0,29.0,25.0,2019,41.915121181,-87.793755917,20,2,4,2,0,0,Night,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0283964347313826,0.0057553260794442,0.0050992841084425,0.0099213242924784,0.0072256198465414,non-violent_crime
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,False,False,1112,11.0,27.0,23.0,2019,41.896196718,-87.716337402,13,5,10,4,1,0,Noon,False,True,Residential_Areas,14.8,33.9,17.3,35.4,38.0,13781,85.0,54165.0,15045.83,0.0250822458463504,0.0018485028529013,0.0038912351058101,0.0002979911146112,0.0100611976774384,non-violent_crime
OTHER OFFENSE,TELEPHONE THREAT,False,False,1822,18.0,27.0,8.0,2021,41.910864065,-87.651686957,16,1,9,4,0,0,Evening,False,True,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0112947060544116,0.0022186517153083,0.0064687599701936,0.001475026571517,0.0158786005658696,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,631,6.0,6.0,44.0,2024,41.746695863,-87.611163959,0,3,1,1,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,3.3,27.8,24.0,14.5,40.3,18881,60.0,31710.0,10749.15,0.0204647359882472,0.0070561577006867,0.0032480504856142,0.0041393616515146,0.0057466401970097,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,1121,11.0,27.0,23.0,2021,41.892412923,-87.711345756,14,2,8,3,0,0,Noon,False,True,Outdoor_And_Public_Spaces,14.8,33.9,17.3,35.4,38.0,13781,85.0,54165.0,15045.83,0.0197206622996415,0.0046074615986805,0.0046995345896087,0.0001493884690479,0.0054745424748508,non-violent_crime
THEFT,RETAIL THEFT,False,False,1824,18.0,2.0,8.0,2020,41.903919035,-87.630396032,11,6,12,1,1,0,Morning,True,False,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0129738037963502,0.0038773202874975,0.0040420626644976,0.0186111267408252,0.0062117403466616,non-violent_crime
ASSAULT,SIMPLE,False,True,2432,24.0,40.0,1.0,2022,42.000874331,-87.670468763,19,3,5,2,0,0,Night,False,True,Residential_Areas,7.7,23.6,8.7,18.2,27.5,23939,39.0,55628.0,30232.61,0.0014021114049631,0.0014922414418081,0.0022384498279795,0.0182298643904294,0.0065909015550526,violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,True,False,131,1.0,3.0,33.0,2021,41.855716874,-87.628681326,22,1,12,1,0,0,Night,True,False,Outdoor_And_Public_Spaces,1.3,13.8,4.9,7.4,21.8,59077,7.0,28795.0,16176.97,0.0029679733652795,0.0028723353094367,0.0030047996025688,0.0221852168635142,0.0036446827004275,non-violent_crime
THEFT,RETAIL THEFT,False,False,1931,19.0,32.0,7.0,2023,41.925078949,-87.673734337,13,2,11,4,0,0,Noon,False,True,Commercial_Areas,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0240483809392833,0.0047459556139496,0.0056433062262682,0.0222943612702715,0.0143180141541219,non-violent_crime
BATTERY,SIMPLE,False,False,2422,24.0,49.0,1.0,2019,42.018498254,-87.672983233,21,6,3,2,1,0,Night,True,False,Transportation_And_Vehicles,7.7,23.6,8.7,18.2,27.5,23939,39.0,55628.0,30232.61,0.0188080793466103,0.0019199562264478,0.0027607102127772,0.0353381886449429,0.0116805034321669,violent_crime
ASSAULT,AGGRAVATED - HANDGUN,False,False,1523,15.0,37.0,25.0,2021,41.885007173,-87.763352348,18,2,6,3,0,0,Evening,False,True,Outdoor_And_Public_Spaces,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0069095306025931,0.0032286190909735,0.000242419896574,0.0032246318934074,0.0048421273877325,violent_crime
THEFT,RETAIL THEFT,False,False,223,2.0,4.0,38.0,2023,41.80950879,-87.608371773,12,6,4,2,1,0,Noon,True,False,Commercial_Areas,3.3,29.3,24.3,15.9,39.5,23472,57.0,24589.0,14131.61,0.0234857401520101,0.0016558234547448,0.0049714575364092,0.0057457474473156,0.0144237066240226,non-violent_crime
ASSAULT,SIMPLE,False,False,1935,19.0,43.0,7.0,2019,41.93165707,-87.64205015,13,6,3,2,1,0,Noon,False,True,Outdoor_And_Public_Spaces,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0183679425246495,0.004317183169255,0.0046559070535938,0.0194785082775517,0.0093619571644918,violent_crime
ASSAULT,SIMPLE,True,True,334,3.0,7.0,43.0,2018,41.761727593,-87.564815996,21,0,12,1,0,0,Night,False,True,Residential_Areas,2.8,31.1,20.0,14.0,35.7,19398,55.0,53971.0,18420.14,0.0412011952883016,0.0060279098355185,0.0082006745546935,0.0053309886536287,0.0012426345227149,violent_crime
MOTOR VEHICLE THEFT,AUTOMOBILE,False,False,212,2.0,4.0,36.0,2022,41.830917641,-87.608064205,22,5,11,4,1,0,Night,False,True,Residential_Areas,1.3,39.7,28.7,18.4,40.4,19252,78.0,6799.0,11722.41,0.0153326658427402,0.0026199230861515,0.0048552203647071,0.0183519195055803,0.009444938461093,non-violent_crime
THEFT,RETAIL THEFT,False,False,1935,19.0,43.0,7.0,2023,41.932012618,-87.640940116,4,6,3,2,1,0,Early Morning,False,True,Commercial_Areas,0.8,12.3,5.1,3.6,21.5,71551,2.0,70492.0,22307.59,0.0186695162123204,0.0034978123955196,0.0058177613027803,0.020427675603823,0.0095818048464687,non-violent_crime
NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,True,False,1131,11.0,28.0,26.0,2018,41.87607905,-87.733505972,9,6,8,3,1,0,Morning,False,True,Residential_Areas,9.4,41.7,25.8,24.5,43.6,10934,92.0,17433.0,13619.53,0.0281288691709139,0.0070508646555986,0.0018702389628696,0.0001434474760458,0.0086685122262306,non-violent_crime
BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,False,False,1134,11.0,24.0,27.0,2019,41.873461764,-87.705908135,10,0,1,1,0,0,Morning,False,True,Outdoor_And_Public_Spaces,8.2,42.4,19.6,21.3,43.2,12961,83.0,19992.0,10358.55,0.0004369561953992,0.0011697568305024,0.0036863480177365,0.0014192603955395,0.0100047191548562,violent_crime
ASSAULT,SIMPLE,False,False,614,6.0,18.0,71.0,2023,41.742044516,-87.665655258,18,2,4,2,0,0,Evening,True,False,Residential_Areas,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.0236842435458321,0.0027739365409833,0.0043870425918576,0.0032994679687742,0.012449130044143,violent_crime
PROSTITUTION,SOLICIT ON PUBLIC WAY,True,False,1113,11.0,28.0,26.0,2022,41.880125046,-87.737911373,11,6,7,3,1,0,Morning,False,True,Outdoor_And_Public_Spaces,9.4,41.7,25.8,24.5,43.6,10934,92.0,17433.0,13619.53,0.0302885455486861,0.0043930091309026,0.0025530942073195,0.0010270809580119,0.0124593782316345,non-violent_crime
BATTERY,SIMPLE,False,False,1522,15.0,29.0,25.0,2019,41.882254819,-87.763931315,10,2,8,3,0,0,Morning,False,True,Residential_Areas,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0047891055989208,0.0049774719955795,0.0019897667105072,0.0028577210907913,0.0071715674533995,violent_crime
THEFT,$500 AND UNDER,False,False,2223,22.0,21.0,71.0,2023,41.735913204,-87.635546853,9,4,2,1,0,0,Morning,True,False,Residential_Areas,4.0,27.6,28.3,18.5,41.9,15528,74.0,44878.0,11903.98,0.0184006651730787,0.0070418756318247,0.0033765481705735,0.0036260938326108,0.0169666389640741,non-violent_crime
BATTERY,DOMESTIC BATTERY SIMPLE,False,True,732,7.0,6.0,68.0,2021,41.76463904,-87.643013869,20,1,6,3,0,0,Night,False,True,Residential_Areas,3.8,46.6,28.0,28.5,42.5,11888,94.0,24369.0,7937.79,0.0125611038317367,0.0039407736382641,0.0018351142765731,0.001409521206172,0.0132413425598218,violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,1132,11.0,24.0,26.0,2019,41.871642318,-87.724258278,8,3,11,4,0,0,Morning,True,False,Outdoor_And_Public_Spaces,9.4,41.7,25.8,24.5,43.6,10934,92.0,17433.0,13619.53,0.0188701337383236,0.000977511685303,0.0036692947543983,0.0009515146803339,0.0077988319672887,non-violent_crime
CRIMINAL DAMAGE,TO PROPERTY,False,False,123,1.0,25.0,32.0,2019,41.872903956,-87.633592535,11,3,11,4,0,0,Morning,True,False,Unknown,1.5,14.7,5.7,3.1,13.5,65526,3.0,42298.0,25635.15,0.0158130593573559,0.0042004492504249,0.0060309587007278,0.0088856415484844,0.0070184671960947,non-violent_crime
THEFT,FROM BUILDING,False,False,2433,24.0,48.0,77.0,2020,41.990402496,-87.658225275,12,4,2,1,0,0,Noon,False,True,Residential_Areas,4.1,18.2,9.2,9.7,23.8,33385,19.0,56296.0,32354.02,0.016100068801663,0.0016913164826455,0.0012498435123519,0.0149905515653693,0.0022862981557834,non-violent_crime
NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,True,False,1014,10.0,24.0,29.0,2019,41.852759513,-87.720212675,21,4,7,3,0,0,Night,False,True,Outdoor_And_Public_Spaces,7.4,43.1,21.2,27.6,42.7,12034,87.0,34794.0,10839.25,0.012464813510902,0.0041126546604445,0.0034587327846563,0.0011434275504604,0.0115550829187303,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,True,2523,25.0,30.0,21.0,2019,41.938190784,-87.724911832,1,0,4,2,0,0,Early Morning,False,True,Outdoor_And_Public_Spaces,6.0,15.3,9.2,24.7,31.0,20039,42.0,36257.0,18311.62,0.028046104034438,0.0030294328878287,0.0018357961481671,0.0033584159835956,0.0166827637878107,non-violent_crime
CRIMINAL DAMAGE,TO VEHICLE,False,False,414,4.0,8.0,43.0,2021,41.756289152,-87.576088497,5,0,12,1,0,0,Early Morning,False,True,Transportation_And_Vehicles,2.8,31.1,20.0,14.0,35.7,19398,55.0,53971.0,18420.14,0.0313453770630701,0.0018382563125343,0.0035200695715463,0.0015740061569743,0.0137190735659537,non-violent_crime
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,False,False,1524,15.0,37.0,25.0,2020,41.897967942,-87.7655071,23,6,7,3,1,0,Night,False,True,Residential_Areas,6.3,28.6,22.6,24.4,37.9,15957,73.0,96557.0,13504.48,0.0180860668580116,0.0049967040347616,0.0003205515982264,0.0034237962807572,0.008800399186359,non-violent_crime
THEFT,OVER $500,False,False,1412,14.0,35.0,22.0,2022,41.928458611,-87.707842691,19,2,11,4,0,0,Night,False,True,Outdoor_And_Public_Spaces,3.2,16.8,8.2,14.8,26.2,31908,23.0,71665.0,19962.4,0.0127306914907768,0.0048791738414051,0.00554263110357,0.0044928844173071,0.0056250455843727,non-violent_crime
THEFT,FROM BUILDING,False,False,1832,18.0,2.0,8.0,2023,41.895287937,-87.631214259,17,6,1,1,1,0,Evening,True,False,Commercial_Areas,1.9,12.9,7.0,2.5,22.6,88669,1.0,105481.0,38496.72,0.0145117092603366,0.0082906246678608,0.005119390919819,0.0162723623741967,0.0081384003342662,non-violent_crime
